City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,nova sintra,14.8667,-24.7167,74.5,78,0,23.69,CV,1716057261
252,namsos,64.4662,11.4957,51.71,87,75,10.36,NO,1716057171
253,hualien city,23.9769,121.6044,74.73,91,76,5.84,TW,1716057262
254,orimattila,60.8049,25.7296,60.31,59,10,5.1,FI,1716057263
255,markovo,57.3206,107.0881,38.35,95,60,4.47,RU,1716057263
256,sisimiut,66.9395,-53.6735,32.02,71,10,10.2,GL,1716057076
257,huarmey,-10.0681,-78.1522,71.46,78,33,10.63,PE,1716057265
258,kvissleby,62.2936,17.375,62.44,40,6,8.97,SE,1716057265
259,tocopilla,-22.092,-70.1979,68.72,67,26,13.22,CL,1716057266
260,mhamid,29.82,-5.72,88.29,10,0,17.6,MA,1716057266
261,gaspe,48.8334,-64.4819,55.62,67,40,17.27,CA,1716057267
262,ribeira grande,38.5167,-28.7,66.6,55,40,6.91,PT,1716057267
263,hammerfest,70.6634,23.6821,36.05,93,100,9.22,NO,1716057268
264,vila velha,-20.3297,-40.2925,85.95,74,20,16.11,BR,1716057002
265,eureka,40.8021,-124.1637,75.74,73,10,5.99,US,1716057269
266,farmville,37.3021,-78.3919,66.52,82,100,5.75,US,1716057270
267,salalah,17.0151,54.0924,87.89,70,20,6.91,OM,1716057270
268,brigantine,39.4101,-74.3646,61.2,91,100,6.91,US,1716057271
269,richards bay,-28.783,32.0377,66.97,91,28,3.15,ZA,1716057272
270,sima,53.9202,102.0442,50.02,45,74,2.46,RU,1716057272
271,mainvilliers,48.45,1.4561,57.85,91,100,1.01,FR,1716057273
272,maitum,6.0392,124.4986,80.33,84,98,5.35,PH,1716057273
273,smithers,54.7804,-127.1743,48.52,57,75,9.22,CA,1716057274
274,archidona,37.0965,-4.3887,72.16,47,0,7.36,ES,1716057274
275,aripuana,-9.1667,-60.6333,92.84,46,96,3.51,BR,1716057275
276,pampa,35.5362,-100.9599,87.84,30,0,6.91,US,1716057276
277,mountain home,43.133,-115.6912,66.42,19,20,3.0,US,1716057162
278,dzhangala,49.2167,50.3333,56.64,53,100,8.5,KZ,1716057277
279,santa terezinha,-29.9002,-50.0904,60.82,77,100,9.4,BR,1716057278
280,yanchep,-31.55,115.6833,66.33,36,100,12.66,AU,1716057278
281,tsiroanomandidy,-18.7667,46.0333,72.3,60,97,2.37,MG,1716057279
282,padampur,29.6833,73.6167,94.98,14,0,6.31,IN,1716057279
283,sengkang,-4.1279,120.0297,74.79,97,100,2.75,ID,1716057280
284,sagua la grande,22.8067,-80.0756,99.59,35,100,13.33,CU,1716057280
285,torrelodones,40.5765,-3.9266,68.83,48,23,5.7,ES,1716057281
286,miracema do tocantins,-9.5618,-48.3967,93.43,36,13,4.27,BR,1716057281
287,khandyga,62.6667,135.6,31.37,66,100,6.44,RU,1716057282
288,n'dalatando,-9.2978,14.9116,73.2,45,97,3.11,AO,1716057283
289,gorontalo,0.5412,123.0595,74.52,94,90,1.72,ID,1716057283
290,realeza,-25.7689,-53.5325,59.4,99,100,4.56,BR,1716057284
291,vorgashor,67.5833,63.95,12.79,97,100,7.25,RU,1716057284
292,armacao de buzios,-22.7469,-41.8817,82.45,86,0,11.48,BR,1716057084
293,yreka,41.7354,-122.6345,66.38,34,0,4.61,US,1716057285
294,garachico,28.7781,-17.7646,66.49,73,75,5.75,ES,1716057286
295,bandar-e genaveh,29.5791,50.517,80.91,61,0,3.96,IR,1716057286
296,rocha,-34.4833,-54.3333,52.39,74,100,7.76,UY,1716057136
297,itubera,-13.7322,-39.1492,73.13,96,87,2.8,BR,1716057287
298,daru,-9.0763,143.2092,78.1,89,100,21.61,PG,1716057288
299,nogliki,51.8333,143.1667,39.34,89,96,21.99,RU,1716056718
300,puerto san jose,13.9256,-90.8244,87.12,66,100,11.01,GT,1716057289
301,susuman,62.7833,148.1667,42.98,74,100,5.01,RU,1716057199
302,nadym,65.5333,72.5167,25.97,86,20,12.71,RU,1716057290
303,tazovsky,67.4667,78.7,11.12,97,78,8.01,RU,1716057138
304,galliano,29.4422,-90.2992,81.0,83,75,0.0,US,1716057291
305,hjo,58.3013,14.2878,66.18,65,20,3.02,SE,1716057292
306,hovd,48.0056,91.6419,61.38,30,0,3.47,MN,1716057292
307,smara,26.7384,-11.6719,75.49,37,6,20.07,EH,1716057293
308,maputo,-25.9653,32.5892,71.28,88,40,3.44,MZ,1716057293
309,vinton,37.281,-79.897,75.74,81,75,5.75,US,1716057294
310,aykhal,66.0,111.5,7.95,91,14,3.53,RU,1716057294
311,rongelap,11.1635,166.8941,80.62,83,100,24.79,MH,1716057295
312,gueret,46.1667,1.8667,52.16,97,26,2.59,FR,1716057294
313,shahba,32.8551,36.629,71.17,33,2,9.37,SY,1716057296
314,nakhon thai,17.1006,100.8374,79.03,88,88,2.19,TH,1716057297
315,boquete,8.7833,-82.4333,74.8,67,100,4.0,PA,1716057079
316,saint-philippe,-21.3585,55.7679,72.99,76,45,8.23,RE,1716057298
317,ust'-barguzin,53.45,108.9833,39.67,67,100,2.28,RU,1716057299
318,la passe,45.5549,-0.8967,59.23,82,98,6.49,FR,1716057299
319,puerto colombia,10.9878,-74.9547,93.29,72,44,17.63,CO,1716057300
320,pastos bons,-6.6017,-44.0767,91.17,41,100,3.56,BR,1716057300
321,sorong,-0.8833,131.25,78.24,91,100,7.18,ID,1716057301
322,cantley,53.5,-1.05,68.77,1,0,7.45,GB,1716057301
323,itamaraju,-17.0392,-39.5311,82.51,54,4,8.37,BR,1716057302
324,prince rupert,54.3161,-130.3201,47.89,71,100,3.44,CA,1716056711
325,kavaratti,10.5669,72.642,85.57,75,100,13.47,IN,1716057304
326,sinmak,38.4167,126.2333,55.42,92,4,1.25,KP,1716057304
327,palmer,42.1584,-72.3287,65.8,74,100,13.8,US,1716057306
328,nasiriyah,31.0521,46.261,88.5,20,1,9.1,IQ,1716057307
329,cabedelo,-6.9811,-34.8339,86.67,77,14,8.05,BR,1716057307
330,bargaal,11.2864,51.0773,84.07,79,100,1.92,SO,1716057308
331,great falls,47.5002,-111.3008,57.65,30,20,14.97,US,1716057286
332,alpine,32.835,-116.7664,76.55,58,0,5.01,US,1716057126
333,kosonsoy,41.2561,71.5508,61.36,67,0,6.82,UZ,1716057310
334,cidreira,-30.1811,-50.2056,61.18,70,98,10.07,BR,1716057310
335,fukuecho,32.6881,128.8419,66.15,65,88,5.95,JP,1716057311
336,miyaly,48.8844,53.7836,57.4,60,94,9.53,KZ,1716057311
337,pitimbu,-7.4706,-34.8086,86.59,77,36,8.5,BR,1716057312
338,pisco,-13.7,-76.2167,73.45,68,0,12.66,PE,1716056426
339,souma,36.5183,2.9053,69.98,75,100,3.44,DZ,1716057313
340,san jose de guanipa,8.8872,-64.1651,89.46,47,100,8.75,VE,1716057313
341,la ronge,55.1001,-105.2842,46.65,87,100,16.11,CA,1716057314
342,luganville,-15.5333,167.1667,77.68,92,51,1.57,VU,1716057314
343,wamba,8.9333,8.6,84.33,57,100,1.66,NG,1716057315
344,buyeo,36.2819,126.9125,60.62,85,0,2.57,KR,1716057315
345,kavieng,-2.5744,150.7967,79.88,86,99,9.08,PG,1716057316
346,tome acu,-2.4189,-48.1522,81.52,96,86,3.4,BR,1716057316
347,colonia,50.9333,6.95,67.05,81,0,2.3,DE,1716057127
348,les avirons,-21.2418,55.3394,69.89,64,0,5.75,RE,1716057318
349,san antonio de pale,-1.4014,5.6325,79.72,87,100,7.34,GQ,1716057318
350,qianzhou,28.3167,109.7167,66.83,97,100,4.34,CN,1716057319
351,tralee,52.2704,-9.7026,57.45,88,100,5.75,IE,1716057319
352,santa maria del oro,25.9333,-105.3667,84.61,9,0,5.95,MX,1716057320
353,egilsstadir,65.2653,-14.3948,39.11,65,75,13.8,IS,1716057320
354,leposaviq,43.1039,20.8028,63.48,85,100,2.01,XK,1716057321
355,lorengau,-2.0226,147.2712,81.5,83,100,8.37,PG,1716057321
356,mbandaka,0.0487,18.2603,79.79,69,23,1.77,CD,1716057322
357,garkalne,57.0437,24.4125,67.95,63,90,1.21,LV,1716057322
358,sodankyla,67.4167,26.6,56.21,70,16,10.87,FI,1716057323
359,palikir - national government center,6.9248,158.1611,81.03,81,94,13.22,FM,1716057324
360,anloga,5.7947,0.8973,83.41,82,100,12.21,GH,1716057324
361,callao,-12.0667,-77.15,66.49,82,75,8.05,PE,1716057325
362,zouerate,22.7187,-12.4521,89.37,17,0,9.22,MR,1716057325
